fiscal_year,metric,value,unit,value_as_written,source_accession,section,quote
2020,paid_members,58.1,millions,"58,100",0000909832-20-000017,Item 1 - Membership,"Total paid members 58,100"
2020,total_cardholders,105.5,millions,"105,500",0000909832-20-000017,Item 1 - Membership,"Total cardholders 105,500"
2021,paid_members,61.7,millions,"61,700",0000909832-21-000014,Item 1 - Membership,"Total paid members 61,700"
2021,total_cardholders,111.6,millions,"111,600",0000909832-21-000014,Item 1 - Membership,"Total cardholders 111,600"
2022,paid_members,65.8,millions,"65,800",0000909832-22-000021,Item 1 - Membership,"Total paid members 65,800"
2022,total_cardholders,118.9,millions,"118,900",0000909832-22-000021,Item 1 - Membership,"Total cardholders 118,900"
2023,paid_members,71.0,millions,"71,000",0000909832-23-000042,Item 1 - Membership,"Total paid members 71,000"
2023,total_cardholders,127.9,millions,"127,900",0000909832-23-000042,Item 1 - Membership,"Total cardholders 127,900"
2024,paid_members,76.2,millions,"76,200",0000909832-24-000049,Item 1 - Membership,"Total paid members 1 76,200"
2024,total_cardholders,136.8,millions,"136,800",0000909832-24-000049,Item 1 - Membership,"Total cardholders 136,800"
2020,executive_members,22.6,millions,22.6 million,0000909832-20-000017,Item 1 - Membership,"Executive members, who totaled 22.6 million and represented 39% of paid members at the end of 2020"
2021,executive_members,25.6,millions,25.6 million,0000909832-21-000014,Item 1 - Membership,Executive members totaled 25.6 million and represented 55% of paid members (excluding affiliates) in the U.S. and Canada
2022,executive_members,29.1,millions,29.1 million,0000909832-22-000021,Item 1 - Membership,Executive members totaled 29.1 million and represented 57% of paid members (excluding affiliates) in the U.S. and Canada
2023,executive_members,32.3,millions,32.3 million,0000909832-23-000042,Item 1 - Membership,Executive members totaled 32.3 million and represented 45.4% of paid members
2024,executive_members,35.4,millions,"35,400",0000909832-24-000049,"Item 1 - Membership (footnote, thousands)","Executive members represented 35,400, 32,300, and 29,100 of total paid members in 2024, 2023, and 2022"
2022,executive_sales_penetration,71.0,% of net sales,71%,0000909832-22-000021,Item 1 - Membership,The sales penetration of Executive members represented approximately 71% of worldwide net sales in 2022
2023,executive_sales_penetration,72.8,% of net sales,72.8%,0000909832-23-000042,Item 1 - Membership,The sales penetration of Executive members represented approximately 72.8% of worldwide net sales in 2023
2024,executive_sales_penetration,73.3,% of net sales,73.3%,0000909832-24-000049,Item 1 - Membership,The sales penetration of Executive members represented approximately 73.3% of worldwide net sales in 2024
2020,renewal_rate_us_canada,91,%,91% in the U.S. and Canada,0000909832-20-000017,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 88% on a worldwide basis at the end of 2020
2020,renewal_rate_worldwide,88,%,and 88%,0000909832-20-000017,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 88% on a worldwide basis at the end of 2020
2021,renewal_rate_us_canada,91,%,91% in the U.S. and Canada,0000909832-21-000014,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 89% worldwide at the end of 2021
2021,renewal_rate_worldwide,89,%,and 89%,0000909832-21-000014,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 89% worldwide at the end of 2021
2022,renewal_rate_us_canada,93,%,93% in the U.S. and Canada,0000909832-22-000021,Item 1 - Membership,Our member renewal rate was 93% in the U.S. and Canada and 90% worldwide at the end of 2022
2022,renewal_rate_worldwide,90,%,and 90%,0000909832-22-000021,Item 1 - Membership,Our member renewal rate was 93% in the U.S. and Canada and 90% worldwide at the end of 2022
2023,renewal_rate_us_canada,92.7,%,92.7% in the U.S. and Canada,0000909832-23-000042,Item 1 - Membership,Our member renewal rate was 92.7% in the U.S. and Canada and 90.4% worldwide at the end of 2023
2023,renewal_rate_worldwide,90.4,%,and 90.4%,0000909832-23-000042,Item 1 - Membership,Our member renewal rate was 92.7% in the U.S. and Canada and 90.4% worldwide at the end of 2023
2024,renewal_rate_us_canada,92.9,%,92.9% in the U.S. and Canada,0000909832-24-000049,Item 1 - Membership,Our member renewal rate was 92.9% in the U.S. and Canada and 90.5% worldwide at the end of 2024
2024,renewal_rate_worldwide,90.5,%,and 90.5%,0000909832-24-000049,Item 1 - Membership,Our member renewal rate was 92.9% in the U.S. and Canada and 90.5% worldwide at the end of 2024
2020,comparable_sales_growth,8,%,Total Company 8 %,0000909832-20-000017,Item 7 MD&A - Highlights table,Changes in comparable sales: U.S. 8 % 8 % 9 % Canada 5 % 2 % 9 % Other International 9 % 2 % 11 % Total Company 8 %
2020,comparable_sales_growth_ex_gas_fx,9,%,Total Company 9 %,0000909832-20-000017,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices (1) : U.S. 9 % 6 % 7 % Canada 7 % 5 % 4 % Other International 11 % 6 % 7 % Total Company 9 %
2021,comparable_sales_growth,16,%,Total Company 16 %,0000909832-21-000014,Item 7 MD&A - Highlights table,Increases in comparable sales: U.S. 15 % 8 % 8 % Canada 20 % 5 % 2 % Other International 19 % 9 % 2 % Total Company 16 %
2021,comparable_sales_growth_ex_gas_fx,13,%,Total Company 13 %,0000909832-21-000014,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices (1) : U.S. 14 % 9 % 6 % Canada 12 % 7 % 5 % Other International 13 % 11 % 6 % Total Company 13 %
2022,comparable_sales_growth,14,%,Total Company 14 %,0000909832-22-000021,Item 7 MD&A - Highlights table,Increases in comparable sales: U.S. 16 % 15 % 8 % Canada 15 % 20 % 5 % Other International 7 % 19 % 9 % Total Company 14 %
2022,comparable_sales_growth_ex_gas_fx,11,%,Total Company 11 %,0000909832-22-000021,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices: U.S. 10 % 14 % 9 % Canada 12 % 12 % 7 % Other International 10 % 13 % 11 % Total Company 11 %
2023,comparable_sales_growth,3,%,Total Company 3 %,0000909832-23-000042,Item 7 MD&A - Highlights table,Changes in comparable sales: U.S. 3 % 16 % 15 % Canada 2 % 15 % 20 % Other International 3 % 7 % 19 % Total Company 3 %
2023,comparable_sales_growth_ex_gas_fx,5,%,Total Company 5 %,0000909832-23-000042,Item 7 MD&A - Highlights table,Changes in comparable sales excluding the impact of changes in foreign-currency and gasoline prices: U.S. 4 % 10 % 14 % Canada 8 % 12 % 12 % Other International 8 % 10 % 13 % Total Company 5 %
2024,comparable_sales_growth,5,%,Total Company 5 %,0000909832-24-000049,Item 7 MD&A - Highlights table,Changes in comparable sales (1) : U.S. 4 % 3 % 16 % Canada 7 % 2 % 15 % Other International 8 % 3 % 7 % Total Company 5 %
2024,comparable_sales_growth_ex_gas_fx,6,%,Total Company 6 %,0000909832-24-000049,Item 7 MD&A - Highlights table,Changes in comparable sales excluding the impact of changes in foreign-currency and gasoline prices (1) : U.S. 5 % 4 % 10 % Canada 8 % 8 % 12 % Other International 8 % 8 % 10 % Total Company 6 %
2020,operating_floor_space,116.1,million sq ft,116.1 million square feet,0000909832-20-000017,Item 2 - Properties,"At the end of 2020, our warehouses contained approximately 116.1 million square feet of operating floor space"
2021,operating_floor_space,118.9,million sq ft,118.9 million square feet,0000909832-21-000014,Item 2 - Properties,"At the end of 2021, our warehouses contained approximately 118.9 million square feet of operating floor space"
2022,operating_floor_space,122.5,million sq ft,122.5 million square feet,0000909832-22-000021,Item 2 - Properties,"At the end of 2022, our warehouses contained approximately 122.5 million square feet of operating floor space"
2023,operating_floor_space,126.3,million sq ft,126.3 million square feet,0000909832-23-000042,Item 2 - Properties,"At the end of 2023, our warehouses contained approximately 126.3 million square feet of operating floor space"
