label,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024
Cash and cash equivalents,8384.0,12277.0,11258.0,10203.0,13700.0,9906.0
Short-term investments,1060.0,1028.0,917.0,846.0,1534.0,1238.0
"Receivables, net",1535.0,1550.0,1803.0,2241.0,2285.0,2721.0
Merchandise inventories,11395.0,12242.0,14215.0,17907.0,16651.0,18647.0
Other current assets,1111.0,1023.0,1312.0,1499.0,1709.0,1734.0
Total current assets,23485.0,28120.0,29505.0,32696.0,35879.0,34246.0
"Property and equipment, net",20890.0,21807.0,23492.0,24646.0,26684.0,29032.0
Operating lease right-of-use assets,0.0,2788.0,2890.0,2774.0,2713.0,2617.0
Other long-term assets,1025.0,2841.0,3381.0,4050.0,3718.0,3936.0
Total assets,45400.0,55556.0,59268.0,64166.0,68994.0,69831.0
Accounts payable,11679.0,14172.0,16278.0,17848.0,17483.0,19421.0
Accrued salaries and benefits,3176.0,3605.0,4090.0,4381.0,4278.0,4794.0
Accrued member rewards,1180.0,1393.0,1671.0,1911.0,2150.0,2435.0
Deferred membership fees,1711.0,1851.0,2042.0,2174.0,2337.0,2501.0
Current portion of long-term debt,1699.0,95.0,799.0,73.0,1081.0,103.0
Other current liabilities,3792.0,3728.0,4561.0,5611.0,6254.0,6210.0
Total current liabilities,23237.0,24844.0,29441.0,31998.0,33583.0,35464.0
"Long-term debt, excluding current portion",5124.0,7514.0,6692.0,6484.0,5377.0,5794.0
Long-term operating lease liabilities,0.0,2558.0,2642.0,2482.0,2426.0,2375.0
Other long-term liabilities,1455.0,1935.0,2415.0,2555.0,2550.0,2576.0
Total liabilities,29816.0,36851.0,41190.0,43519.0,43936.0,46209.0
Total Costco stockholders' equity,15243.0,18284.0,17564.0,20642.0,25058.0,23622.0
Noncontrolling interests,341.0,421.0,514.0,5.0,0.0,0.0
Total equity,15584.0,18705.0,18078.0,20647.0,25058.0,23622.0
Total liabilities and equity,45400.0,55556.0,59268.0,64166.0,68994.0,69831.0
Common shares outstanding (m),439.62,441.26,441.82,442.66,442.79,443.13
