label,FY2020,FY2021,FY2022,FY2023,FY2024
Net cash provided by operating activities,8861.0,8958.0,7392.0,11068.0,11339.0
Depreciation and amortization,1645.0,1781.0,1900.0,2077.0,2237.0
Stock-based compensation,619.0,665.0,724.0,774.0,818.0
(Increase) decrease in merchandise inventories,791.0,1892.0,4003.0,-1228.0,2068.0
Increase in accounts payable,2261.0,1838.0,1891.0,-382.0,1938.0
"Other operating assets and liabilities, net",-728.0,-1057.0,-549.0,-172.0,-741.0
Additions to property and equipment,2810.0,3588.0,3891.0,4323.0,4710.0
Net cash used in investing activities,-3891.0,-3535.0,-3915.0,-4972.0,-4409.0
Cash dividend payments,1479.0,5748.0,1498.0,1251.0,9041.0
Repurchases of common stock,196.0,496.0,439.0,676.0,700.0
Proceeds from issuance of long-term debt,3992.0,0.0,0.0,0.0,498.0
Repayments of long-term debt,3200.0,94.0,800.0,75.0,1077.0
Net cash used in financing activities,-1147.0,-6488.0,-4283.0,-2614.0,-10764.0
Effect of exchange rates on cash,70.0,46.0,-249.0,15.0,40.0
Net change in cash and cash equivalents,3893.0,-1019.0,-1055.0,3497.0,-3794.0
Income taxes paid (supplemental),1052.0,1527.0,1940.0,2234.0,2319.0
Interest paid (supplemental),124.0,149.0,145.0,125.0,129.0
