label,FY2020,FY2021,FY2022,FY2023,FY2024
Net sales,163220.0,192052.0,222730.0,237710.0,249625.0
Membership fees,3541.0,3877.0,4224.0,4580.0,4828.0
Total revenue,166761.0,195929.0,226954.0,242290.0,254453.0
Merchandise costs,144939.0,170684.0,199382.0,212586.0,222358.0
"Selling, general and administrative",16387.0,18537.0,19779.0,21590.0,22810.0
Preopening expenses (in SG&A from FY2022 presentation),0.0,0.0,0.0,0.0,0.0
Operating income,5435.0,6708.0,7793.0,8114.0,9285.0
Interest expense,160.0,171.0,158.0,160.0,169.0
"Interest income and other, net",92.0,143.0,205.0,533.0,624.0
Income before income taxes,5367.0,6680.0,7840.0,8487.0,9740.0
Provision for income taxes,1308.0,1601.0,1925.0,2195.0,2373.0
Net income including noncontrolling interests,4059.0,5079.0,5915.0,6292.0,7367.0
Net income attributable to noncontrolling interests,57.0,72.0,71.0,0.0,0.0
Net income attributable to Costco,4002.0,5007.0,5844.0,6292.0,7367.0
EPS - basic ($),9.05,11.3,13.17,14.18,16.59
EPS - diluted ($),9.02,11.27,13.14,14.16,16.56
Weighted avg. shares - basic (m),442.3,443.09,443.65,443.85,443.91
Weighted avg. shares - diluted (m),443.9,444.35,444.76,444.45,444.76
