fiscal_year,metric,value,unit,value_as_written,source_accession,section,quote,source_url,verified_in_filing
2020,warehouses_end_of_year,795.0,count,795,0000909832-20-000017,XBRL us-gaap:NumberOfStores,,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm#id3VybDovL2RvY3MudjEvZG9jOmQyYzdhMjdjYzQ1YTQzNDFhN2JkZjg4Yjk3MzlkMzhiL3NlYzpkMmM3YTI3Y2M0NWE0MzQxYTdiZGY4OGI5NzM5ZDM4Yl8xMDYvZnJhZzphMjUyNTBhY2RiZTY0OWUxODRhODVmNDY5MGUzMDc5ZS90ZXh0cmVnaW9uOmEyNTI1MGFjZGJlNjQ5ZTE4NGE4NWY0NjkwZTMwNzllXzQ2Mw_5351ae6d-862b-4dbb-bd17-b7c2204d49c5,True
2021,warehouses_end_of_year,815.0,count,815,0000909832-21-000014,XBRL us-gaap:NumberOfStores,,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm#id3VybDovL2RvY3MudjEvZG9jOmU1OGRhYTJkOGIzMjQ3YzZiZmQ4YzVlYTBhZTRhMzRlL3NlYzplNThkYWEyZDhiMzI0N2M2YmZkOGM1ZWEwYWU0YTM0ZV8xMDYvZnJhZzo0OWE1YTY5ZTRkMDM0MzMyODk0YThhN2EzNjE0NGZjNy90ZXh0cmVnaW9uOjQ5YTVhNjllNGQwMzQzMzI4OTRhOGE3YTM2MTQ0ZmM3XzQ2Mw_5ff4f064-ade6-476d-b8e7-51162d659605,True
2022,warehouses_end_of_year,838.0,count,838,0000909832-22-000021,XBRL us-gaap:NumberOfStores,,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm#id3VybDovL2RvY3MudjEvZG9jOjdmOTI4MjJkZGY4NDRjMjQ5MTI2MjdiZjY4NTA5YjU2L3NlYzo3ZjkyODIyZGRmODQ0YzI0OTEyNjI3YmY2ODUwOWI1Nl8xMDMvZnJhZzpkZWIwY2EwZjRiMGQ0YzQyOTAyYjdkMTYxZjVlMDA1Yi90ZXh0cmVnaW9uOmRlYjBjYTBmNGIwZDRjNDI5MDJiN2QxNjFmNWUwMDViXzQ2Mw_da06108a-3314-4c94-85ff-5497bfc7c252,True
2023,warehouses_end_of_year,861.0,count,861,0000909832-23-000042,XBRL us-gaap:NumberOfStores,,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm#f-396,True
2024,warehouses_end_of_year,890.0,count,890,0000909832-24-000049,XBRL us-gaap:NumberOfStores,,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm#f-388,True
2020,paid_members,58.1,millions,"58,100",0000909832-20-000017,Item 1 - Membership,"Total paid members 58,100",https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2020,total_cardholders,105.5,millions,"105,500",0000909832-20-000017,Item 1 - Membership,"Total cardholders 105,500",https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2021,paid_members,61.7,millions,"61,700",0000909832-21-000014,Item 1 - Membership,"Total paid members 61,700",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2021,total_cardholders,111.6,millions,"111,600",0000909832-21-000014,Item 1 - Membership,"Total cardholders 111,600",https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,paid_members,65.8,millions,"65,800",0000909832-22-000021,Item 1 - Membership,"Total paid members 65,800",https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2022,total_cardholders,118.9,millions,"118,900",0000909832-22-000021,Item 1 - Membership,"Total cardholders 118,900",https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,paid_members,71.0,millions,"71,000",0000909832-23-000042,Item 1 - Membership,"Total paid members 71,000",https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2023,total_cardholders,127.9,millions,"127,900",0000909832-23-000042,Item 1 - Membership,"Total cardholders 127,900",https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,paid_members,76.2,millions,"76,200",0000909832-24-000049,Item 1 - Membership,"Total paid members 1 76,200",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,total_cardholders,136.8,millions,"136,800",0000909832-24-000049,Item 1 - Membership,"Total cardholders 136,800",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,executive_members,22.6,millions,22.6 million,0000909832-20-000017,Item 1 - Membership,"Executive members, who totaled 22.6 million and represented 39% of paid members at the end of 2020",https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2021,executive_members,25.6,millions,25.6 million,0000909832-21-000014,Item 1 - Membership,Executive members totaled 25.6 million and represented 55% of paid members (excluding affiliates) in the U.S. and Canada,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,executive_members,29.1,millions,29.1 million,0000909832-22-000021,Item 1 - Membership,Executive members totaled 29.1 million and represented 57% of paid members (excluding affiliates) in the U.S. and Canada,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,executive_members,32.3,millions,32.3 million,0000909832-23-000042,Item 1 - Membership,Executive members totaled 32.3 million and represented 45.4% of paid members,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,executive_members,35.4,millions,"35,400",0000909832-24-000049,"Item 1 - Membership (footnote, thousands)","Executive members represented 35,400, 32,300, and 29,100 of total paid members in 2024, 2023, and 2022",https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2022,executive_sales_penetration,71.0,% of net sales,71%,0000909832-22-000021,Item 1 - Membership,The sales penetration of Executive members represented approximately 71% of worldwide net sales in 2022,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,executive_sales_penetration,72.8,% of net sales,72.8%,0000909832-23-000042,Item 1 - Membership,The sales penetration of Executive members represented approximately 72.8% of worldwide net sales in 2023,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,executive_sales_penetration,73.3,% of net sales,73.3%,0000909832-24-000049,Item 1 - Membership,The sales penetration of Executive members represented approximately 73.3% of worldwide net sales in 2024,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,renewal_rate_us_canada,91.0,%,91% in the U.S. and Canada,0000909832-20-000017,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 88% on a worldwide basis at the end of 2020,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2020,renewal_rate_worldwide,88.0,%,and 88%,0000909832-20-000017,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 88% on a worldwide basis at the end of 2020,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2021,renewal_rate_us_canada,91.0,%,91% in the U.S. and Canada,0000909832-21-000014,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 89% worldwide at the end of 2021,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2021,renewal_rate_worldwide,89.0,%,and 89%,0000909832-21-000014,Item 1 - Membership,Our member renewal rate was 91% in the U.S. and Canada and 89% worldwide at the end of 2021,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,renewal_rate_us_canada,93.0,%,93% in the U.S. and Canada,0000909832-22-000021,Item 1 - Membership,Our member renewal rate was 93% in the U.S. and Canada and 90% worldwide at the end of 2022,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2022,renewal_rate_worldwide,90.0,%,and 90%,0000909832-22-000021,Item 1 - Membership,Our member renewal rate was 93% in the U.S. and Canada and 90% worldwide at the end of 2022,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,renewal_rate_us_canada,92.7,%,92.7% in the U.S. and Canada,0000909832-23-000042,Item 1 - Membership,Our member renewal rate was 92.7% in the U.S. and Canada and 90.4% worldwide at the end of 2023,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2023,renewal_rate_worldwide,90.4,%,and 90.4%,0000909832-23-000042,Item 1 - Membership,Our member renewal rate was 92.7% in the U.S. and Canada and 90.4% worldwide at the end of 2023,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,renewal_rate_us_canada,92.9,%,92.9% in the U.S. and Canada,0000909832-24-000049,Item 1 - Membership,Our member renewal rate was 92.9% in the U.S. and Canada and 90.5% worldwide at the end of 2024,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,renewal_rate_worldwide,90.5,%,and 90.5%,0000909832-24-000049,Item 1 - Membership,Our member renewal rate was 92.9% in the U.S. and Canada and 90.5% worldwide at the end of 2024,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,comparable_sales_growth,8.0,%,Total Company 8 %,0000909832-20-000017,Item 7 MD&A - Highlights table,Changes in comparable sales: U.S. 8 % 8 % 9 % Canada 5 % 2 % 9 % Other International 9 % 2 % 11 % Total Company 8 %,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2020,comparable_sales_growth_ex_gas_fx,9.0,%,Total Company 9 %,0000909832-20-000017,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices (1) : U.S. 9 % 6 % 7 % Canada 7 % 5 % 4 % Other International 11 % 6 % 7 % Total Company 9 %,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
2021,comparable_sales_growth,16.0,%,Total Company 16 %,0000909832-21-000014,Item 7 MD&A - Highlights table,Increases in comparable sales: U.S. 15 % 8 % 8 % Canada 20 % 5 % 2 % Other International 19 % 9 % 2 % Total Company 16 %,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2021,comparable_sales_growth_ex_gas_fx,13.0,%,Total Company 13 %,0000909832-21-000014,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices (1) : U.S. 14 % 9 % 6 % Canada 12 % 7 % 5 % Other International 13 % 11 % 6 % Total Company 13 %,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,True
2022,comparable_sales_growth,14.0,%,Total Company 14 %,0000909832-22-000021,Item 7 MD&A - Highlights table,Increases in comparable sales: U.S. 16 % 15 % 8 % Canada 15 % 20 % 5 % Other International 7 % 19 % 9 % Total Company 14 %,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2022,comparable_sales_growth_ex_gas_fx,11.0,%,Total Company 11 %,0000909832-22-000021,Item 7 MD&A - Highlights table,Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices: U.S. 10 % 14 % 9 % Canada 12 % 12 % 7 % Other International 10 % 13 % 11 % Total Company 11 %,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,True
2023,comparable_sales_growth,3.0,%,Total Company 3 %,0000909832-23-000042,Item 7 MD&A - Highlights table,Changes in comparable sales: U.S. 3 % 16 % 15 % Canada 2 % 15 % 20 % Other International 3 % 7 % 19 % Total Company 3 %,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2023,comparable_sales_growth_ex_gas_fx,5.0,%,Total Company 5 %,0000909832-23-000042,Item 7 MD&A - Highlights table,Changes in comparable sales excluding the impact of changes in foreign-currency and gasoline prices: U.S. 4 % 10 % 14 % Canada 8 % 12 % 12 % Other International 8 % 10 % 13 % Total Company 5 %,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,True
2024,comparable_sales_growth,5.0,%,Total Company 5 %,0000909832-24-000049,Item 7 MD&A - Highlights table,Changes in comparable sales (1) : U.S. 4 % 3 % 16 % Canada 7 % 2 % 15 % Other International 8 % 3 % 7 % Total Company 5 %,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2024,comparable_sales_growth_ex_gas_fx,6.0,%,Total Company 6 %,0000909832-24-000049,Item 7 MD&A - Highlights table,Changes in comparable sales excluding the impact of changes in foreign-currency and gasoline prices (1) : U.S. 5 % 4 % 10 % Canada 8 % 8 % 12 % Other International 8 % 8 % 10 % Total Company 6 %,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,True
2020,operating_floor_space,116.1,million sq ft,116.1 million square feet,0000909832-20-000017,Item 2 - Properties,"At the end of 2020, our warehouses contained approximately 116.1 million square feet of operating floor space",https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,True
