label,FY2020,FY2021,FY2022,FY2023,FY2024
United States: revenue,122142.0,141398.0,165294.0,176630.0,184143.0
Canada: revenue,22434.0,27298.0,31675.0,33056.0,34874.0
Other International: revenue,22185.0,27233.0,29985.0,32604.0,35436.0
United States: operating income,3822.0,4470.0,5268.0,5392.0,6217.0
Canada: operating income,778.0,1093.0,1346.0,1448.0,1648.0
Other International: operating income,835.0,1145.0,1179.0,1274.0,1420.0
United States: d and a,1248.0,1339.0,1436.0,1599.0,1730.0
Canada: d and a,155.0,177.0,180.0,183.0,192.0
Other International: d and a,242.0,265.0,284.0,295.0,315.0
United States: capex,2060.0,2612.0,2795.0,3288.0,3725.0
Canada: capex,258.0,272.0,388.0,281.0,351.0
Other International: capex,492.0,704.0,708.0,754.0,634.0
United States: ppe net,14916.0,15993.0,17205.0,18760.0,20638.0
Canada: ppe net,2172.0,2317.0,2459.0,2443.0,2602.0
Other International: ppe net,4719.0,5182.0,4982.0,5481.0,5792.0
United States: total assets,38366.0,39589.0,44904.0,49189.0,48816.0
Canada: total assets,5270.0,5962.0,6558.0,6420.0,6915.0
Other International: total assets,11920.0,13717.0,12704.0,13385.0,14100.0
Net sales: Foods and sundries,68659.0,77277.0,85629.0,96175.0,101463.0
Net sales: Non-foods,44807.0,55966.0,61100.0,60865.0,63973.0
Net sales: Fresh foods,23204.0,27183.0,29527.0,31977.0,34220.0
Net sales: Warehouse ancillary and other,26550.0,31626.0,46474.0,48693.0,49969.0
