check,line_item,fiscal_year,selected_value,other_value,other_accession,status
restated_in_other_filing,sga,2020,16387.0,16332.0,0000909832-20-000017,INFO
restated_in_other_filing,sga,2020,16387.0,16332.0,0000909832-21-000014,INFO
restated_in_other_filing,sga,2021,18537.0,18461.0,0000909832-21-000014,INFO
restated_in_other_filing,segment_operating_income,2020,3822.0,3633.0,0000909832-20-000017,INFO
restated_in_other_filing,segment_operating_income,2020,3822.0,3633.0,0000909832-21-000014,INFO
restated_in_other_filing,segment_operating_income,2020,778.0,860.0,0000909832-20-000017,INFO
restated_in_other_filing,segment_operating_income,2020,778.0,860.0,0000909832-21-000014,INFO
restated_in_other_filing,segment_operating_income,2021,4470.0,4262.0,0000909832-21-000014,INFO
restated_in_other_filing,segment_operating_income,2021,1093.0,1176.0,0000909832-21-000014,INFO
as_originally_reported,sga,2020,16387.0,16332.0,0000909832-20-000017,INFO
as_originally_reported,sga,2021,18537.0,18461.0,0000909832-21-000014,INFO
as_originally_reported,preopening,2020,0.0,55.0,0000909832-20-000017,INFO
as_originally_reported,preopening,2021,0.0,76.0,0000909832-21-000014,INFO
companyfacts_api,total_revenue,2020,166761.0,166761.0,0000909832-22-000021,MATCH
companyfacts_api,merchandise_costs,2020,144939.0,144939.0,0000909832-22-000021,MATCH
companyfacts_api,sga,2020,16387.0,16387.0,0000909832-22-000021,MATCH
companyfacts_api,operating_income,2020,5435.0,5435.0,0000909832-22-000021,MATCH
companyfacts_api,interest_expense,2020,160.0,160.0,0000909832-22-000021,MATCH
companyfacts_api,interest_income_other,2020,92.0,92.0,0000909832-22-000021,MATCH
companyfacts_api,pretax_income,2020,5367.0,5367.0,0000909832-22-000021,MATCH
companyfacts_api,income_tax,2020,1308.0,1308.0,0000909832-22-000021,MATCH
companyfacts_api,net_income_incl_nci,2020,4059.0,4059.0,0000909832-22-000021,MATCH
companyfacts_api,nci_income,2020,57.0,57.0,0000909832-22-000021,MATCH
