file,url,description,downloaded_utc,bytes,sha256
data/raw/sec/company_tickers.json,https://www.sec.gov/files/company_tickers.json,SEC ticker-to-CIK map,2026-09-23T19:11:54Z,800821,357320d31017d07c21dbbe75c163b7da5d9026c1c307f41352a0b092093e86af
data/raw/sec/COST_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,COST XBRL company facts,2026-09-23T19:11:54Z,3617189,71a4fd99c86f27c3aa27b8f05b3a9705c16f0060b425395bb1a367ce239b7d1f
data/raw/sec/WMT_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000104169.json,WMT XBRL company facts,2026-09-23T19:11:55Z,3770257,54ec3fbf36dc203dd00a0333396b3df2b6695ecdf6cbb19b6ec41b053d86b517
data/raw/sec/BJ_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001531152.json,BJ XBRL company facts,2026-09-23T19:11:55Z,1987444,183033ade8424e8c6e5b4279c73e35a2bd53d43ecc9249a3186a21bfee2466a4
data/raw/sec/TGT_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000027419.json,TGT XBRL company facts,2026-09-23T19:11:56Z,3761536,eb15a2cd524e99ff27675db78840d039ec4a68b9cc2dcb10accbcb299933a487
data/raw/sec/DG_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000029534.json,DG XBRL company facts,2026-09-23T19:11:56Z,2509741,16157a14c6c91f04a8b3e89ccedfc91ee0d5ea6978f8c6ed1d25d8cfe73541cf
data/raw/sec/DLTR_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000935703.json,DLTR XBRL company facts,2026-09-23T19:11:57Z,2970211,e848ce86b0df51740450fc079721862fb958621c0c62a59a739af96ff8bdb5ab
data/raw/sec/KR_companyfacts.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000056873.json,KR XBRL company facts,2026-09-23T19:11:58Z,3897385,fa7ec2e3a6beb09469a0edc637641e0efc379be43cef4c5e241c0e33e5fd4e3e
data/raw/sec/COST_submissions.json,https://data.sec.gov/submissions/CIK0000909832.json,COST EDGAR submissions,2026-09-23T19:11:58Z,158946,18dfca98e3386e2b3315a1311c89d9d20038b0a6b621c2fc826fe32f4b3efdd9
data/raw/sec/COST_CIK0000909832-submissions-001.json,https://data.sec.gov/submissions/CIK0000909832-submissions-001.json,COST EDGAR submissions (older page),2026-09-23T19:11:59Z,268868,d5d8573e42c4f3cb9d01269dce142752415677866493281b21e838c29b702eeb
data/raw/sec/WMT_submissions.json,https://data.sec.gov/submissions/CIK0000104169.json,WMT EDGAR submissions,2026-09-23T19:11:59Z,157392,3655f0ee3b85ad68016b49c0de49f5b13987a23ac9f3cd2d9f984111dbabf0a6
data/raw/sec/WMT_CIK0000104169-submissions-001.json,https://data.sec.gov/submissions/CIK0000104169-submissions-001.json,WMT EDGAR submissions (older page),2026-09-23T19:12:00Z,312808,a690ec86d501f25bbf47b27a1b20c16cb01fd82dbb05bcab44a6537faf000719
data/raw/sec/WMT_CIK0000104169-submissions-002.json,https://data.sec.gov/submissions/CIK0000104169-submissions-002.json,WMT EDGAR submissions (older page),2026-09-23T19:12:00Z,222549,60b40696bc50e6247861d3156f62a08ca145dd86110c9458a71af55abc7856e1
data/raw/sec/BJ_submissions.json,https://data.sec.gov/submissions/CIK0001531152.json,BJ EDGAR submissions,2026-09-23T19:12:01Z,135160,9ea9765ebdd710563caa68809b568a6c058f7607f908b9bf60e18e43a750c681
data/raw/sec/TGT_submissions.json,https://data.sec.gov/submissions/CIK0000027419.json,TGT EDGAR submissions,2026-09-23T19:12:01Z,149561,ed4d7c322f01253aff16e8d96343d1dc4b78b3094af9aaabd9673ab8fa3c3eed
data/raw/sec/TGT_CIK0000027419-submissions-001.json,https://data.sec.gov/submissions/CIK0000027419-submissions-001.json,TGT EDGAR submissions (older page),2026-09-23T19:12:01Z,245590,a23a6464a9c4f5987654c77c2af5abf1e86be1cc97b399474157bd29aae751fd
data/raw/sec/DG_submissions.json,https://data.sec.gov/submissions/CIK0000029534.json,DG EDGAR submissions,2026-09-23T19:12:02Z,171311,3816fd6a1ec38049253df94ad46fe659772e5e889569d26b8f7afa2f61531167
data/raw/sec/DG_CIK0000029534-submissions-001.json,https://data.sec.gov/submissions/CIK0000029534-submissions-001.json,DG EDGAR submissions (older page),2026-09-23T19:12:02Z,253147,3f6fc47748670c2488c66c19438239d00e109453fc3b3dbbbe863c30a35ad171
data/raw/sec/DLTR_submissions.json,https://data.sec.gov/submissions/CIK0000935703.json,DLTR EDGAR submissions,2026-09-23T19:12:03Z,163740,7a10906e2381e7de5cd7962a9587a5e1d9aa5471be50b25bbefe6ffbc045f201
data/raw/sec/DLTR_CIK0000935703-submissions-001.json,https://data.sec.gov/submissions/CIK0000935703-submissions-001.json,DLTR EDGAR submissions (older page),2026-09-23T19:12:03Z,313852,dc6e56c3d7a35b7b8f2ea808a909fd06f785f34113eb2196e55f01bc24d156ba
data/raw/sec/KR_submissions.json,https://data.sec.gov/submissions/CIK0000056873.json,KR EDGAR submissions,2026-09-23T19:12:03Z,155247,9901f261693a2e7e3fa6462bd65b086b83e3577411d2d3f8ac84910f6065ce8a
data/raw/sec/KR_CIK0000056873-submissions-001.json,https://data.sec.gov/submissions/CIK0000056873-submissions-001.json,KR EDGAR submissions (older page),2026-09-23T19:12:04Z,309920,24d90a4a2e88a19926df98999280e4564260096fc9242461daf956d4b3113877
data/raw/sec/KR_CIK0000056873-submissions-002.json,https://data.sec.gov/submissions/CIK0000056873-submissions-002.json,KR EDGAR submissions (older page),2026-09-23T19:12:05Z,176890,9ce4a1a5039c5c430d47a133a1795d06b6979a35cb40ea02947c49d77fb91637
data/raw/filings/COST_10-K_FY2020_2020-08-30_0000909832-20-000017.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830.htm,COST 10-K for period ending 2020-08-30,2026-09-23T19:12:05Z,2777168,6176cb63d5bd18d9ed3ad5320dbabf37c66cb9392c5a099538fe11196b3d0820
data/raw/filings/COST_10-K_FY2021_2021-08-29_0000909832-21-000014.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,COST 10-K for period ending 2021-08-29,2026-09-23T19:12:06Z,1889875,5fbfd9c8a238313883e978a0bdc3a310bdebd280140dbbe850439858676f2ece
data/raw/filings/COST_10-K_FY2022_2022-08-28_0000909832-22-000021.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,COST 10-K for period ending 2022-08-28,2026-09-23T19:12:06Z,1862004,fd61a12a2fa3400b220234b9ec2727799679201c9f316e1a39e1771cf7d2eef2
data/raw/filings/COST_10-K_FY2023_2023-09-03_0000909832-23-000042.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,COST 10-K for period ending 2023-09-03,2026-09-23T19:12:06Z,1502722,0c4ce9264e927cb06debf5e805025000c188b5f979ba8bee82b9ea5d1f06d3b6
data/raw/filings/COST_10-K_FY2024_2024-09-01_0000909832-24-000049.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,COST 10-K for period ending 2024-09-01,2026-09-23T19:12:07Z,1498000,58d3e16e9f3aad32223a21510bc59624c1a6dd1d2301a5daeaf979aeb3b9174f
data/raw/filings/COST_10-Q_FY2025_2024-11-24_0000909832-24-000079.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000079/cost-20241124.htm,COST 10-Q for period ending 2024-11-24,2026-09-23T19:12:07Z,644316,9be9c461717d22ce0ea53232962a50b94ff83b7ed3f1265e7ad7a1966837b829
