date,close,adjclose
2019-12-01,293.9200,267.5384
2020-01-01,305.5200,278.0972
2020-02-01,281.1400,256.4450
2020-03-01,285.1300,260.0845
2020-04-01,303.0000,277.0163
2020-05-01,308.4700,282.0172
2020-06-01,303.2100,277.2083
2020-07-01,325.5300,298.2544
2020-08-01,347.6600,318.5302
2020-09-01,355.0000,325.2552
2020-10-01,357.6200,328.2854
2020-11-01,391.7700,359.6341
2020-12-01,376.7800,354.9334
2021-01-01,352.4300,331.9952
2021-02-01,331.0000,312.4235
2021-03-01,352.4800,332.6980
2021-04-01,372.0900,351.9597
2021-05-01,378.2700,357.8055
2021-06-01,395.6700,374.2641
2021-07-01,429.7200,407.2339
2021-08-01,455.4900,431.6554
2021-09-01,449.3500,425.8366
2021-10-01,491.5400,466.5726
2021-11-01,539.3800,511.9827
2021-12-01,567.7000,538.8643
2022-01-01,505.1300,479.4723
2022-02-01,519.2500,493.6220
2022-03-01,575.8500,547.4286
2022-04-01,531.7200,506.2992
2022-05-01,466.2200,443.9305
2022-06-01,479.2800,456.3661
2022-07-01,541.3000,516.3106
2022-08-01,522.1000,497.9970
2022-09-01,472.2700,450.4675
2022-10-01,501.5000,479.2117
2022-11-01,539.2500,515.2839
2022-12-01,456.5000,436.2115
2023-01-01,511.1400,488.4232
2023-02-01,484.1800,463.4667
2023-03-01,496.8700,475.6138
2023-04-01,503.2200,481.6923
2023-05-01,511.5600,490.6967
2023-06-01,538.3800,516.4229
2023-07-01,560.6700,537.8038
2023-08-01,549.2800,527.8738
2023-09-01,564.9600,542.9428
2023-10-01,552.4400,530.9107
2023-11-01,592.7400,570.6855
2023-12-01,660.0800,649.9721
2024-01-01,694.8800,684.2391
2024-02-01,743.8900,733.5754
2024-03-01,732.6300,722.4716
2024-04-01,722.9000,714.0208
2024-05-01,809.8900,799.9423
2024-06-01,849.9900,839.5496
2024-07-01,822.0000,813.0594
2024-08-01,892.3800,882.6739
2024-09-01,886.5200,876.8776
2024-10-01,874.1800,864.6718
2024-11-01,971.8800,962.5865
2024-12-01,916.2700,907.5082
2025-01-01,979.8800,970.5099
