date,close,adjclose
2019-12-01,155.9800,141.4917
2020-01-01,153.4100,139.4476
2020-02-01,150.3000,136.6207
2020-03-01,151.0100,137.2660
2020-04-01,175.3000,159.6997
2020-05-01,191.5100,174.4671
2020-06-01,190.5100,173.5562
2020-07-01,190.4000,173.7861
2020-08-01,201.8800,184.2644
2020-09-01,209.6200,191.3291
2020-10-01,208.7100,190.8232
2020-11-01,218.5800,199.8473
2020-12-01,210.3000,192.2770
2021-01-01,194.6100,178.2367
2021-02-01,188.9900,173.0896
2021-03-01,202.6200,185.5728
2021-04-01,214.7500,197.0913
2021-05-01,202.9600,186.2707
2021-06-01,216.3900,198.5964
2021-07-01,232.6400,213.9227
2021-08-01,222.9100,204.9755
2021-09-01,212.1400,195.0720
2021-10-01,221.5200,204.1071
2021-11-01,221.3000,203.9044
2021-12-01,235.8300,217.2922
2022-01-01,208.4800,192.4348
2022-02-01,198.3400,183.0753
2022-03-01,222.6300,205.4958
2022-04-01,237.5300,219.7832
2022-05-01,220.3400,203.8776
2022-06-01,245.4400,227.1023
2022-07-01,248.4300,230.3851
2022-08-01,237.4200,220.1748
2022-09-01,239.8600,222.4376
2022-10-01,255.0500,237.0679
2022-11-01,255.6800,237.6534
2022-12-01,246.2500,229.3970
2023-01-01,233.6000,217.6128
2023-02-01,216.3000,201.4967
2023-03-01,210.4600,196.0565
2023-04-01,221.4600,206.8782
2023-05-01,201.0900,187.8494
2023-06-01,169.7800,158.6010
2023-07-01,168.8600,158.2931
2023-08-01,138.5000,129.8330
2023-09-01,105.8000,99.1793
2023-10-01,119.0400,112.2131
2023-11-01,131.1200,123.6003
2023-12-01,135.9500,128.1533
2024-01-01,132.0700,125.0393
2024-02-01,145.3100,137.5744
2024-03-01,156.0600,147.7521
2024-04-01,139.1900,132.2693
2024-05-01,136.9100,130.1027
2024-06-01,132.2300,125.6554
2024-07-01,120.3900,114.9252
2024-08-01,82.9700,79.2038
2024-09-01,84.5700,80.7311
2024-10-01,80.0400,76.9453
2024-11-01,77.2700,74.2824
2024-12-01,75.8200,72.8885
2025-01-01,71.0600,68.8480
