date,close,adjclose
2019-12-01,94.0500,94.0500
2020-01-01,87.0700,87.0700
2020-02-01,83.0300,83.0300
2020-03-01,73.4700,73.4700
2020-04-01,79.6700,79.6700
2020-05-01,97.8700,97.8700
2020-06-01,92.6800,92.6800
2020-07-01,93.3500,93.3500
2020-08-01,96.2700,96.2700
2020-09-01,91.3400,91.3400
2020-10-01,90.3200,90.3200
2020-11-01,109.2400,109.2400
2020-12-01,108.0400,108.0400
2021-01-01,101.6600,101.6600
2021-02-01,98.2000,98.2000
2021-03-01,114.4600,114.4600
2021-04-01,114.9000,114.9000
2021-05-01,97.5000,97.5000
2021-06-01,99.5000,99.5000
2021-07-01,99.7900,99.7900
2021-08-01,90.5400,90.5400
2021-09-01,95.7200,95.7200
2021-10-01,107.7600,107.7600
2021-11-01,133.8300,133.8300
2021-12-01,140.5200,140.5200
2022-01-01,131.2200,131.2200
2022-02-01,142.0800,142.0800
2022-03-01,160.1500,160.1500
2022-04-01,162.4500,162.4500
2022-05-01,160.3300,160.3300
2022-06-01,155.8500,155.8500
2022-07-01,165.3600,165.3600
2022-08-01,135.6800,135.6800
2022-09-01,136.1000,136.1000
2022-10-01,158.5000,158.5000
2022-11-01,150.2900,150.2900
2022-12-01,141.4400,141.4400
2023-01-01,150.1800,150.1800
2023-02-01,145.2800,145.2800
2023-03-01,143.5500,143.5500
2023-04-01,153.7100,153.7100
2023-05-01,134.8800,134.8800
2023-06-01,143.5000,143.5000
2023-07-01,154.3300,154.3300
2023-08-01,122.3600,122.3600
2023-09-01,106.4500,106.4500
2023-10-01,111.0900,111.0900
2023-11-01,123.5900,123.5900
2023-12-01,142.0500,142.0500
2024-01-01,130.6200,130.6200
2024-02-01,146.6800,146.6800
2024-03-01,133.1500,133.1500
2024-04-01,118.2500,118.2500
2024-05-01,117.9500,117.9500
2024-06-01,106.7700,106.7700
2024-07-01,104.3400,104.3400
2024-08-01,84.4900,84.4900
2024-09-01,70.3200,70.3200
2024-10-01,64.6400,64.6400
2024-11-01,71.2700,71.2700
2024-12-01,74.9400,74.9400
2025-01-01,73.3500,73.3500
