date,close,adjclose
2019-12-01,3230.7800,3230.7800
2020-01-01,3225.5200,3225.5200
2020-02-01,2954.2200,2954.2200
2020-03-01,2584.5901,2584.5901
2020-04-01,2912.4299,2912.4299
2020-05-01,3044.3101,3044.3101
2020-06-01,3100.2900,3100.2900
2020-07-01,3271.1201,3271.1201
2020-08-01,3500.3101,3500.3101
2020-09-01,3363.0000,3363.0000
2020-10-01,3269.9600,3269.9600
2020-11-01,3621.6299,3621.6299
2020-12-01,3756.0701,3756.0701
2021-01-01,3714.2400,3714.2400
2021-02-01,3811.1499,3811.1499
2021-03-01,3972.8899,3972.8899
2021-04-01,4181.1699,4181.1699
2021-05-01,4204.1099,4204.1099
2021-06-01,4297.5000,4297.5000
2021-07-01,4395.2598,4395.2598
2021-08-01,4522.6802,4522.6802
2021-09-01,4307.5400,4307.5400
2021-10-01,4605.3799,4605.3799
2021-11-01,4567.0000,4567.0000
2021-12-01,4766.1802,4766.1802
2022-01-01,4515.5498,4515.5498
2022-02-01,4373.9399,4373.9399
2022-03-01,4530.4102,4530.4102
2022-04-01,4131.9302,4131.9302
2022-05-01,4132.1499,4132.1499
2022-06-01,3785.3799,3785.3799
2022-07-01,4130.2900,4130.2900
2022-08-01,3955.0000,3955.0000
2022-09-01,3585.6201,3585.6201
2022-10-01,3871.9800,3871.9800
2022-11-01,4080.1101,4080.1101
2022-12-01,3839.5000,3839.5000
2023-01-01,4076.6001,4076.6001
2023-02-01,3970.1499,3970.1499
2023-03-01,4109.3101,4109.3101
2023-04-01,4169.4800,4169.4800
2023-05-01,4179.8301,4179.8301
2023-06-01,4450.3799,4450.3799
2023-07-01,4588.9600,4588.9600
2023-08-01,4507.6602,4507.6602
2023-09-01,4288.0498,4288.0498
2023-10-01,4193.7998,4193.7998
2023-11-01,4567.7998,4567.7998
2023-12-01,4769.8301,4769.8301
2024-01-01,4845.6499,4845.6499
2024-02-01,5096.2700,5096.2700
2024-03-01,5254.3501,5254.3501
2024-04-01,5035.6899,5035.6899
2024-05-01,5277.5098,5277.5098
2024-06-01,5460.4800,5460.4800
2024-07-01,5522.2998,5522.2998
2024-08-01,5648.3999,5648.3999
2024-09-01,5762.4800,5762.4800
2024-10-01,5705.4502,5705.4502
2024-11-01,6032.3799,6032.3799
2024-12-01,5881.6299,5881.6299
2025-01-01,6040.5298,6040.5298
