date,close,adjclose
2019-12-01,128.2100,106.4483
2020-01-01,110.7400,91.9436
2020-02-01,103.0000,86.0040
2020-03-01,92.9700,77.6291
2020-04-01,109.7400,91.6319
2020-05-01,122.3300,102.6857
2020-06-01,119.9300,100.6711
2020-07-01,125.8800,105.6656
2020-08-01,151.2100,127.5555
2020-09-01,157.4200,132.7941
2020-10-01,152.2200,128.4075
2020-11-01,179.5300,152.0713
2020-12-01,176.5300,149.5301
2021-01-01,181.1700,153.4605
2021-02-01,183.4400,155.9372
2021-03-01,198.0700,168.3737
2021-04-01,207.2600,176.1859
2021-05-01,226.9200,193.5249
2021-06-01,241.7400,206.1639
2021-07-01,261.0500,222.6321
2021-08-01,246.9800,211.3556
2021-09-01,228.7700,195.7722
2021-10-01,259.6200,222.1724
2021-11-01,243.8400,209.3814
2021-12-01,231.4400,198.7337
2022-01-01,220.4300,189.2796
2022-02-01,199.7700,172.2827
2022-03-01,212.2200,183.0196
2022-04-01,228.6500,197.1889
2022-05-01,161.8800,140.1816
2022-06-01,141.2300,122.2995
2022-07-01,163.3800,141.4805
2022-08-01,160.3400,139.7182
2022-09-01,148.3900,129.3052
2022-10-01,164.2500,143.1254
2022-11-01,167.0700,146.4959
2022-12-01,149.0400,130.6862
2023-01-01,172.1400,150.9415
2023-02-01,168.5000,148.6762
2023-03-01,165.6300,146.1438
2023-04-01,157.7500,139.1909
2023-05-01,130.9300,116.3085
2023-06-01,131.9000,117.1702
2023-07-01,136.4700,121.2299
2023-08-01,126.5500,113.3814
2023-09-01,110.5700,99.0642
2023-10-01,110.7900,99.2613
2023-11-01,133.8100,121.1276
2023-12-01,142.4200,128.9216
2024-01-01,139.0800,125.8982
2024-02-01,152.9200,139.4518
2024-03-01,177.2100,161.6024
2024-04-01,160.9800,146.8018
2024-05-01,156.1600,143.3867
2024-06-01,148.0400,135.9308
2024-07-01,150.4100,138.1070
2024-08-01,153.6200,142.1575
2024-09-01,155.8600,144.2304
2024-10-01,150.0400,138.8447
2024-11-01,132.3100,123.3230
2024-12-01,135.1800,125.9980
2025-01-01,137.9100,128.5426
