multiple,statistic,multiple_value,costco_metric,implied_equity,implied_price
ev_revenue,peer_25th,0.535802,258805,143155,322.495
ev_revenue,peer_median,0.604149,258805,160844,362.343
ev_revenue,peer_75th,0.698761,258805,185330,417.505
ev_revenue,tier1_median,0.679883,258805,180444,406.498
ev_revenue,walmart,1.24152,258805,325800,733.95
ev_ebitda,peer_25th,7.77075,11781,96034.2,216.342
ev_ebitda,peer_median,8.76839,11781,107787,242.82
ev_ebitda,peer_75th,12.0869,11781,146883,330.894
ev_ebitda,tier1_median,13.159,11781,159513,359.346
ev_ebitda,walmart,20.1781,11781,242205,545.631
pe,peer_25th,15.1613,7576,114862,258.757
pe,peer_median,18.3579,7576,139079,313.313
pe,peer_75th,23.0076,7576,174305,392.669
pe,tier1_median,23.9147,7576,181178,408.151
pe,walmart,40.2973,7576,305292,687.752
ps,peer_25th,0.452012,258805,116983,263.535
ps,peer_median,0.560334,258805,145017,326.69
ps,peer_75th,0.623356,258805,161328,363.434
ps,tier1_median,0.647966,258805,167697,377.781
ps,walmart,1.17671,258805,304539,686.054
