,FY2025E,FY2026E,FY2027E,FY2028E,FY2029E
revenue,273712,293092,311969,330309,349529
ebit,10187.1,11089.3,11792,12476.8,13165.2
taxes_on_ebit,2648.63,2883.22,3065.91,3243.97,3422.96
nopat,7538.42,8206.08,8726.06,9232.83,9742.26
d_and_a,2438.69,2653.84,2886.38,3128.72,3379.21
capex,5000,5422.2,5771.43,6110.72,6466.29
change_in_nwc_inflow,1015.33,1035.33,915.557,890.632,917.931
ufcf,5992.44,6473.05,6756.57,7141.47,7573.11
ebitda,12625.7,13743.1,14678.4,15605.5,16544.4
period_fraction,0.769231,1,1,1,1
discount_time_yrs,0.197125,1.07871,2.07529,3.08008,4.08761
ufcf_in_period,4609.57,6473.05,6756.57,7141.47,7573.11
discount_factor,0.984257,0.916831,0.846155,0.780411,0.719616
pv_ufcf,4537,5934.69,5717.11,5573.28,5449.73
