,FY2024A,FY2025E,FY2026E,FY2027E,FY2028E,FY2029E
cash,9906,14158.4,18832.7,23765.5,29085,34846.3
short_term_investments,1238,1238,1238,1238,1238,1238
receivables,2721,2925.98,3133.15,3334.95,3531,3736.47
inventories,18647,20057.6,21477.8,22861.1,24205.1,25613.5
other_current_assets,1734,1863.98,1995.95,2124.51,2249.41,2380.3
ppe_net,29032,31593.3,34361.7,37246.7,40228.7,43315.8
operating_lease_rou,2617,2617,2617,2617,2617,2617
other_lt_assets,3936,3936,3936,3936,3936,3936
accounts_payable,19421,20889.7,22368.8,23809.5,25209.2,26676.1
accrued_salaries,4794,5156.73,5521.85,5877.5,6223.02,6585.13
accrued_member_rewards,2435,2619.42,2804.89,2985.54,3161.06,3345
other_current_liabilities,6210,6681.31,7154.37,7615.16,8062.85,8532.01
deferred_membership_fees,2501,2774.75,3066.67,3258.09,3445.19,3625.84
current_debt,103,103,103,103,103,103
long_term_debt,5794,5794,5794,5794,5794,5794
lt_operating_lease_liab,2375,2375,2375,2375,2375,2375
other_lt_liabilities,2576,2576,2576,2576,2576,2576
total_equity,23622,29420.3,35827.7,42730,50140.8,58071.3
total_current_assets,34246,40243.9,46677.5,53324,60308.4,67814.6
total_assets,69831,78390.2,87592.2,97123.7,107090,117683
total_current_liabilities,35464,38224.9,41019.5,43648.8,46204.3,48867.1
total_liabilities,46209,48969.9,51764.5,54393.8,56949.3,59612.1
total_liabilities_equity,69831,78390.2,87592.2,97123.7,107090,117683
balance_check,0,0,0,-2.91038e-11,-1.45519e-11,0
