,FY2024A,FY2025E,FY2026E,FY2027E,FY2028E,FY2029E
cfo,11339,12031.9,13078.4,13846.8,14739.2,15706
capex,4710,5000,5422.2,5771.43,6110.72,6466.29
sbc,818,875.878,937.893,998.301,1056.99,1118.49
dividends_paid,9041,2079.54,2281.85,2442.57,2608.97,2778.4
buybacks,700,700,700,700,700,700
d_and_a,2237,2438.69,2653.84,2886.38,3128.72,3379.21
net_income,7367,7701.99,8451.3,9046.57,9662.85,10290.4
free_cash_flow,6629,7031.89,7656.16,8075.38,8628.48,9239.71
change_in_nwc,,1015.33,1035.33,915.557,890.632,917.931
cfi,,-5000,-5422.2,-5771.43,-6110.72,-6466.29
cff,,-2779.54,-2981.85,-3142.57,-3308.97,-3478.4
net_change_cash,,4252.35,4674.31,4932.81,5319.51,5761.31
