,FY2024A,FY2025E,FY2026E,FY2027E,FY2028E,FY2029E
warehouses,890,916,943,970,997,1024
paid_members,76.2,81.534,86.8337,92.0437,97.1061,101.961
fee_per_avg_member,65.5978,67.9202,70.3247,70.3247,70.3247,70.3247
net_new_warehouses,,26,27,27,27,27
unit_growth,,0.0292135,0.029476,0.028632,0.0278351,0.0270812
comp_growth,,0.055,0.05,0.045,0.04,0.04
new_unit_contribution,,0.0189888,0.0191594,0.0186108,0.0180928,0.0176028
net_sales_growth,,0.0750331,0.0701174,0.0644483,0.0588165,0.0583069
member_growth,,0.07,0.065,0.06,0.055,0.05
fee_increase_effect,,0.0354025,0.0354025,0,0,0
