,FY2024A,FY2025E,FY2026E,FY2027E,FY2028E,FY2029E
net_sales,249625,268355,287172,305679,323658,342530
membership_fees,4828,5356.66,5920.2,6289.75,6650.95,6999.68
total_revenue,254453,273712,293092,311969,330309,349529
merchandise_costs,222358,238836,255583,272055,288056,304851
sga,22810,24688.7,26419.8,28122.5,29776.6,31512.7
operating_income,9285,10187.1,11089.3,11792,12476.8,13165.2
interest_expense,169,169,169,169,169,169
interest_income_other,624,390.04,500.381,602.12,750.104,909.689
pretax_income,9740,10408.1,11420.7,12225.1,13057.9,13905.9
income_tax,2373,2706.1,2969.37,3178.53,3395.06,3615.54
net_income,7367,7701.99,8451.3,9046.57,9662.85,10290.4
d_and_a,2237,2438.69,2653.84,2886.38,3128.72,3379.21
ebitda,11522,12625.7,13743.1,14678.4,15605.5,16544.4
diluted_shares,444.759,444.9,444.9,444.9,444.9,444.9
eps_diluted,16.56,17.3117,18.9959,20.3339,21.7192,23.1296
gross_margin_on_net_sales,0.109232,0.11,0.11,0.11,0.11,0.11
sga_pct_net_sales,0.0913771,0.092,0.092,0.092,0.092,0.092
operating_margin,0.03649,0.0372182,0.0378356,0.0377986,0.0377731,0.0376656
revenue_growth,0.0502002,0.0756871,0.070804,0.0644074,0.0587885,0.0581886
membership_fee_growth,0.0541485,0.109498,0.105205,0.0624213,0.0574272,0.0524331
