,FY2020,FY2021,FY2022,FY2023,FY2024
revenue_growth,,0.174909,0.158348,0.0675732,0.0502002
net_sales_growth,,0.176645,0.159738,0.0672563,0.0501241
net_sales_growth_52wk,,0.176645,0.159738,0.0471194,0.0703188
membership_fee_growth,,0.0948884,0.0895022,0.0842803,0.0541485
membership_fee_growth_52wk,,0.0948884,0.0895022,0.0638222,0.0744206
comparable_sales_growth,0.08,0.16,0.14,0.03,0.05
comparable_sales_growth_ex_gas_fx,0.09,0.13,0.11,0.05,0.06
non_comp_growth_52wk,,0.016645,0.019738,0.0171194,0.0203188
warehouses,795,815,838,861,890
net_new_warehouses,,20,23,23,29
warehouse_growth,,0.0251572,0.0282209,0.0274463,0.0336818
floor_space_growth,,0.0241171,0.0302775,0.0310204,0.0364212
net_sales_per_avg_warehouse,,238.574,269.486,274.544,285.123
net_sales_per_avg_sqft,,1634.49,1845.32,1874.8,1941.1
gross_margin_on_net_sales,0.112002,0.111262,0.104826,0.105692,0.109232
sga_pct_net_sales,0.100398,0.0965207,0.0888026,0.090825,0.0913771
operating_margin,0.0325916,0.0342369,0.0343374,0.0334888,0.03649
membership_fees_pct_revenue,0.021234,0.0197878,0.0186117,0.018903,0.018974
membership_fees_pct_operating_income,0.651518,0.577967,0.542025,0.564456,0.519978
merchandise_operating_income,1894,2831,3569,3534,4457
merchandise_operating_margin,0.011604,0.0147408,0.0160239,0.0148669,0.0178548
net_margin,0.0239984,0.0255552,0.0257497,0.0259689,0.0289523
effective_tax_rate,0.243712,0.239671,0.245536,0.258631,0.243634
effective_tax_rate_ex_discrete,0.259,0.264,0.262,0.266,0.264374
segment_margin_us,0.0312914,0.0316129,0.0318705,0.0305271,0.0337618
segment_revenue_share_us,0.732437,0.72168,0.728315,0.729002,0.723682
segment_margin_canada,0.0346795,0.0400396,0.0424941,0.0438045,0.0472558
segment_revenue_share_canada,0.134528,0.139326,0.139566,0.136432,0.137055
segment_margin_other_intl,0.037638,0.0420446,0.0393197,0.039075,0.0400722
segment_revenue_share_other_intl,0.133035,0.138994,0.132119,0.134566,0.139263
paid_members_m,58.1,61.7,65.8,71,76.2
paid_member_growth,,0.0619621,0.0664506,0.0790274,0.0732394
executive_members_m,22.6,25.6,29.1,32.3,35.4
executive_share_of_paid,0.388985,0.414911,0.442249,0.45493,0.464567
fee_per_avg_paid_member,,64.7245,66.2588,65.6957,65.5978
renewal_rate_us_canada,0.91,0.91,0.93,0.927,0.929
renewal_rate_worldwide,0.88,0.89,0.9,0.904,0.905
net_sales_per_avg_paid_member,,3206.21,3493.8,3409.72,3391.64
operating_nwc,-9934,-11312,-10278,-11857,-12259
operating_nwc_pct_revenue,-0.0595703,-0.0577352,-0.0452867,-0.0489372,-0.0481779
change_in_operating_nwc,-2437,-1378,1034,-1579,-402
inventory_days,29.681,28.211,29.3216,30.1549,28.8914
payable_days,32.4611,32.4688,31.1509,30.8294,30.2059
payables_to_inventory,1.15765,1.14513,0.996705,1.04997,1.04151
deferred_fees_pct_fee_income,0.522734,0.526696,0.514678,0.510262,0.51802
capex,2810,3588,3891,4323,4710
capex_pct_revenue,0.0168505,0.0183128,0.0171444,0.0178423,0.0185103
d_and_a_pct_revenue,0.00986442,0.00909003,0.00837174,0.00857237,0.00879141
capex_to_d_and_a,1.70821,2.0146,2.04789,2.08137,2.1055
sbc_pct_revenue,0.0037119,0.00339409,0.00319007,0.00319452,0.00321474
free_cash_flow,6051,5370,3501,6745,6629
fcf_margin,0.0362855,0.0274079,0.015426,0.0278385,0.026052
fcf_conversion,1.51199,1.0725,0.599076,1.072,0.899824
cfo_to_net_income,2.21414,1.7891,1.26489,1.75906,1.53916
invested_capital,16486,17310,20504,20360,22427
nopat,4110.43,5100.29,5879.54,6015.47,7022.85
roic,0.249328,0.301828,0.310972,0.294414,0.32827
roe,0.238733,0.279346,0.305921,0.275361,0.302671
net_cash,5696,4684,4492,8776,5247
net_cash_after_leases,2219,768,143,4698,1195
revenue_to_avg_ppe,7.81137,8.65048,9.42931,9.44048,9.13393
dividends_paid_total,1479,5748,1498,1251,9041
special_dividends,0,4430,0,0,6655
regular_dividends,1479,1318,1498,1251,2386
regular_dps_declared,2.7,2.98,3.38,3.84,4.36
regular_payout_ratio,0.299335,0.264419,0.25723,0.271186,0.263285
buybacks,196,496,439,676,700
diluted_shares_m,443.901,444.346,444.757,444.452,444.759
